Text,Emotion,Intensity,Clean_Text
I swear if @devincameron23 blocks me I'm going to hit her back ,anger,0.708,swear block going hit
"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger,0.708,angry student racist teacher stop class let
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger,0.708,block posting storm think aware damn rain quit
I'm just a fuming ball of anger today ðŸ™ƒ,anger,0.708,fume ball anger today ðÿ
I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger,0.75,find till today bff tell disgust offend
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger,0.688,thank say wife get iphone today lose eta
A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger,0.688,turn surprise late work
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger,0.688,police officer right shoot human being provocation
angry already,anger,0.688,angry
... flat party and I instantly get bollocked about it. #fuming,anger,0.69,flat party instantly bollocke
@XemitSellsMagic add tracking but resent them,anger,0.688,add track resent
@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,0.688,man affront justice system
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger,0.764,let snakes house bet kill bugger hand
"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger,0.688,ummm blog say simon stehr fake I expect investigation forthwith
@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,anger,0.688,black armed thug record carry gun illegally get shoot black cop em destroy town
..... wakes up and says 'have you tried changing her nappy?' ðŸ˜¡ðŸ‘ŠðŸ¼ #rage!!!!,anger,0.688,wake say try change nappy
Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger,0.688,need tell candice stick shitty pout wind change
@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,anger,0.688,turn shit home button accessibility innovation mind fuckery
I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,love people plan actually include process
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger,0.688,smh remove ideologically bankrupt opportunistic establishment burn bridge social contract
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.766,outrage party nominate lie corrupt person receive donation nation support terror
@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger,0.688,forget pick ur fave child school
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,anger,0.688,angry people know stop sign francis foster
@soyoprincess they irritate me. Them and their inch thick made up masks,anger,0.667,irritate inch thick mask
@ChurdAllan fucked my coupon that goal! ,anger,0.667,fuck coupon goal
How was Natalie one of the top three favorites?! #toofaced and #bitter ðŸ™„,anger,0.667,natalie favorite ðÿ
@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger,0.667,democrats voter zero tolerance honesty associate honesty anger hate
@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger,0.667,say time explain away brutal killing amp
"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger,0.578,brother protect make furious mislead think fre
..... wakes up and says 'have you tried changing her nappy?' ðŸ˜¡ðŸ‘ŠðŸ¼ !!!!,anger,0.667,wake say try change nappy
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,0.667,year irrelevant absolute joke
All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting,anger,0.667,hell break loose charlotte
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger,0.667,guy eish guy bring anger life nje like darkness fill know
i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,anger,0.667,hour football practice boil sun volleyball practice boil sun
testing #angry,anger,0.667,testing
@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,anger,0.667,artefact point fury not raid literally waste month life thank blizzard
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,anger,0.833,suppose work wtf dude thank piss
i was angry.,anger,0.667,angry
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger,0.667,feel travel mile pick form arrive post day leave
@cineworld 'Congratulations your Free 1 month has been activated' Then charges Â£34.80 the same month. Absolutely furious ðŸ˜¡,anger,0.667,congratulation free month activate charge â month absolutely furious
@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,anger,0.667,hell hath fury like woman scorn affair parenting
straight people are canoodling on the quad and I'm #offended,anger,0.648,straight people canoodle quad
"I can definitely feel my irritation today, lord give me strength",anger,0.667,definitely feel irritation today lord strength
@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„ðŸ™„,anger,0.646,chelsea possible haha fume bet ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ
When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,anger,0.812,break record wish shit rush like broke record
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,anger,0.646,apparently contact sofas mean deliver today old one gone sit floor sofas
I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,anger,0.646,rabid grizzly bear go scatter neighborhood poor
@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,anger,0.646,not want black black crime cry
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.646,honest hope annoying southern bint look pout go week selasi
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen.  #loathing,anger,0.646,zero help customer service push buck forth promise callback donâ t happen
"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger,0.646,stupid hate lol
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer ðŸ˜¡ ,anger,0.646,joke cut internet early mistake reinstate long need engineer
"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger,0.646,yeah receive fine today furious currently appeal member long
People irritate me ðŸ™„,anger,0.646,people irritate ðÿ
Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,anger,0.646,man rage strike wish well
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",anger,0.646,black people fight recognize human being
I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger,0.646,swear block going hit
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer ðŸ˜¡ #fuming,anger,0.646,joke cut internet early mistake reinstate long need engineer
@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage,anger,0.646,unarmed black kill white cop die month chicago s
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger,0.646,tracking equipment deliver service suddenly delay week
Does she really need to pout all the time - getting on my nerves #GBBO,anger,0.646,need pout time get nerve
Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger,0.646,fist laptop screen time new lmao
@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger,0.646,maybe attack tom rabid fan amp clothe perfect
"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",anger,0.646,dear future big brother player chase dick season win dollar sti
"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger,0.556,street burn looting terrify innocent citizen
@Disneyland #nothappy and still #charging the #fullprice ðŸ˜¡ðŸ˜¡ #fuming some your #bestrides ðŸ˜³ðŸ˜³,anger,0.646,
Forgot to eat dinner and now I'm furious with everything and everyone,anger,0.646,forgot eat dinner furious
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap ðŸ¤—,anger,0.646,girl sit chew gum like cow amp m ready snap ðÿ
"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",anger,0.69,nonsensical injustice black add destroy black property misdirect anger
Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,anger,0.646,priority list thing outraged order
@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines  #con!,anger,0.646,wow bill â hav text u prove take â
You a fuck boy if you run drag routes back to back in madden,anger,0.646,fuck boy run drag route madden
I got fever highs\nI got boiling blood,anger,0.646,get fever got boil blood
@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits,anger,0.646,bad temperament
I can't even right now #bb18 #rage,anger,0.646,right
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.472,haha actually doggie barrack gws
Why are people that don't have iPhones so bitter about iPhones???? Can someone explain,anger,0.625,people iphone bitter iphone explain
@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,anger,0.625,guy call people cuck anti blm offend idea pro policing reform amazing
@deshbhakthoon always unhappy and easily offended.,anger,0.531,unhappy easily offend
"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",anger,0.625,shameful display watch today leave reel anger dt feel like explode clown watch
All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,anger,0.625,hell break loose charlotte
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA  #oldcunt,anger,0.625,get season wentworth watch stupid cunt work ruin
Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,anger,0.625,half epicenter shut police y burst tear fuck terrible
Not giving a fuck is better than revenge.,anger,0.625,give fuck well revenge
@winksahoy we about to get shit on by the wrath of winter out of nowhere,anger,0.625,shit wrath winter
@GrxjicTank WHY though! Why did u want to offend Americans?,anger,0.625,u want offend americans
@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the ,anger,0.625,unarmed black kill white cop die month chicago s
@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,0.625,think monalisa respect think ruffle feather
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice,anger,0.625,ask parcel deliver pick store address
Thought the Xbox one s madden bundle would come with a physical copy of madden not a codeðŸ˜´ it's gonna take fucking forever to download lol,anger,0.625,think xbox s madden bundle come physical copy madden go to fuck forever download lol
@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,anger,0.625,bad temperament
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger,0.543,satan test christ
The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,anger,0.625,new gun emoji anger number thing
@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger,0.571,jealous cry baby
I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger,0.625,wanna know outrage black black crime know victim blm kill cop base medium
Forever angry that gh ruined Molly and morgan's bond/friendship #bitter,anger,0.625,forever angry gh ruin molly morgan bond friendship
Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,anger,0.625,spur radio commentator refer mauricio pochettino mopo feel sudden surge rage
@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,anger,0.625,huh sprint coach slow team comp talk robbing living
Can't believe I've only got 2 days off left ðŸ™„ #backtoreality #raging,anger,0.625,believe get day leave ðÿ
@Austin4evaLEEDS fuming!,anger,0.625,fume
Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger,0.625,take break general certain
Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,anger,0.625,fist laptop screen time new lmao
â€¢My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--,anger,0.625,â my brother grab aggressive manner throw tantrum like kid knowing express
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger,0.604,join phone talk rude take money acc willynilly
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger,0.604,assure laughter increase anger cost arrogance westminster
"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",anger,0.604,people need way escape escape corrupt reality fury constant pain amp need vacation
I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. ðŸ˜‘,anger,0.604,love black people people irritate live hell outta cause different
I don't talk about politics because people nowadays get offended easily!,anger,0.479,talk politic people nowadays offend easily
@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,anger,0.468,oh yeah hate air raid like oregon baylor offense fan ole miss
"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",anger,0.604,receive verification email ask resent time
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger,0.604,unbelievable take minute fault hang
"@Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go",anger,0.604,justification shoot provocation person bad history justification way
I genuinely think I have anger issues,anger,0.604,genuinely think anger issue
@judy_that Im honestly offended,anger,0.604,m honestly offend
Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter,anger,0.604,michelle bad player bb history
I'm so annoyed/sad YouTube is burning itself to the ground ðŸ™„ðŸ™„,anger,0.604,annoyed sad youtube burning ground ðÿ ðÿ
"How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg",anger,0.604,tell happy anniversary u happy
Just paid for chicken at @panerabread and didn't even get any ðŸ˜‘ðŸ˜‘ðŸ˜‘ there goes 4 dollars and me as a customer ,anger,0.604,pay chicken go dollar customer
"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",anger,0.596,forget cancel program allow extend people detail outrage behaviour
